id,area,rooms,bathrooms,building_type,department_location,price
66,435.0,4.0,1,1,175.0,599000
76,334.0,4.0,4,1,184.0,370000
78,72.0,3.0,3,1,211.0,250000
72,66.0,2.0,1,1,207.0,119000
79,330.0,4.0,3,1,212.0,450000
75,500.0,4.0,4,1,216.0,950000
80,220.0,3.0,2,1,175.0,335000
74,445.0,4.0,4,1,210.0,790000
77,420.0,3.0,1,1,212.0,239000
83,500.0,4.0,2,1,216.0,460000
85,440.0,4.0,4,1,210.0,645000
84,38.0,1.0,1,1,190.0,85000
86,75.0,2.0,1,0,170.0,59000
81,500.0,2.0,2,1,179.0,155000
92,38.0,1.0,1,0,190.0,85000
90,56.0,4.0,1,0,9.0,215000
89,469.0,4.0,2,1,189.0,450000
87,500.0,3.0,3,1,194.0,525000
91,59.0,2.0,1,0,212.0,130000
88,25.0,3.0,3,1,175.0,10101
93,50.0,1.0,1,0,216.0,148870
94,50.0,2.0,1,0,178.0,123500
98,80.0,3.0,1,0,202.0,175000
96,138.0,3.0,3,0,175.0,500000
99,48.0,1.0,1,0,184.0,110000
101,42.0,1.0,1,0,201.0,110000
103,81.0,4.0,2,0,174.0,90000
100,93.0,2.0,2,0,194.0,320000
106,46.0,0.0,1,0,194.0,113395
105,196.0,3.0,2,0,210.0,385000
102,171.0,2.0,3,0,214.0,780000
108,53.0,2.0,1,0,184.0,83000
110,47.0,2.0,1,0,210.0,120000
111,85.0,2.0,3,0,210.0,285000
115,25.0,1.0,1,0,207.0,40000
113,28.0,1.0,1,0,210.0,119000
112,124.0,4.0,3,0,202.0,360000
117,82.0,3.0,2,0,189.0,179000
119,54.0,2.0,1,0,181.0,107000
109,210.0,4.0,2,0,178.0,265000
120,70.0,2.0,2,0,210.0,239000
114,429.0,3.0,4,0,214.0,930000
127,65.0,2.0,1,0,203.0,169281
125,80.0,2.0,2,0,210.0,220000
121,71.0,2.0,1,0,178.0,135000
128,30.0,0.0,1,0,215.0,105000
126,46.0,1.0,1,0,194.0,140000
129,30.0,1.0,1,0,184.0,80000
130,109.0,2.0,2,0,215.0,285643
133,33.0,1.0,1,0,184.0,97000
132,67.0,2.0,1,0,194.0,140000
136,190.0,3.0,3,0,210.0,495000
137,214.0,3.0,3,0,175.0,572000
138,75.0,3.0,1,0,194.0,167000
145,57.0,1.0,1,0,184.0,101000
144,82.0,3.0,2,0,210.0,220000
146,131.0,0.0,1,0,201.0,139000
139,110.0,3.0,2,0,194.0,349000
142,32.0,0.0,1,0,210.0,101000
140,45.0,1.0,1,0,189.0,116000
141,239.0,3.0,4,0,210.0,1250000
143,88.0,4.0,2,0,9.0,355000
147,45.0,1.0,1,0,189.0,121000
148,70.0,2.0,2,0,210.0,230000
150,43.0,1.0,1,0,220.0,132000
155,60.0,2.0,1,0,184.0,119000
153,70.0,3.0,1,0,216.0,195000
152,44.0,1.0,1,0,201.0,115000
158,40.0,1.0,1,0,201.0,110000
159,40.0,1.0,1,0,222.0,60000
160,25.0,3.0,3,0,215.0,570000
154,125.0,3.0,3,0,210.0,350000
162,130.0,4.0,3,0,9.0,635000
161,48.0,1.0,1,0,210.0,152000
163,29.0,0.0,1,0,174.0,124500
164,100.0,3.0,3,0,202.0,235000
166,36.0,0.0,1,0,215.0,119000
168,33.0,0.0,1,0,215.0,112000
167,91.0,2.0,2,0,210.0,265000
172,80.0,3.0,1,0,195.0,92000
173,140.0,3.0,3,0,210.0,320000
170,176.0,3.0,2,0,216.0,790000
169,66.0,2.0,2,0,194.0,229000
174,250.0,2.0,2,0,194.0,219000
178,46.0,1.0,1,0,170.0,110000
175,77.0,2.0,2,0,210.0,230000
177,130.0,3.0,4,0,214.0,510000
180,45.0,1.0,1,0,194.0,110000
181,130.0,3.0,2,0,202.0,235000
182,59.0,2.0,1,0,194.0,130000
183,33.0,0.0,1,0,184.0,106000
184,60.0,1.0,1,0,215.0,180000
179,125.0,3.0,3,0,30.0,410000
187,47.0,0.0,1,0,220.0,87000
188,230.0,3.0,3,0,210.0,590000
189,58.0,2.0,1,0,189.0,159000
176,65.0,1.0,1,0,178.0,135680
192,250.0,3.0,4,0,211.0,890000
195,258.0,3.0,4,0,210.0,690000
196,50.0,2.0,1,0,178.0,110000
199,25.0,3.0,4,0,210.0,378000
197,97.0,1.0,1,0,216.0,171590
193,148.0,3.0,3,0,210.0,398000
200,59.0,1.0,1,0,184.0,121700
201,52.0,1.0,1,0,194.0,117997
204,133.0,3.0,2,0,210.0,319000
205,77.0,2.0,2,0,178.0,157500
209,140.0,3.0,3,0,178.0,180000
208,120.0,2.0,4,0,174.0,330000
212,60.0,3.0,1,0,175.0,160000
214,60.0,2.0,1,0,189.0,145000
215,116.0,4.0,2,0,210.0,310000
217,55.0,2.0,1,0,221.0,62000
206,50.0,1.0,1,0,202.0,183000
218,96.0,3.0,2,0,210.0,285000
213,232.0,3.0,2,0,215.0,720000
219,223.0,1.0,1,0,172.0,225000
224,70.0,2.0,2,0,194.0,218000
223,68.0,1.0,2,0,203.0,163500
216,45.0,1.0,1,0,184.0,133200
226,43.0,2.0,1,0,210.0,120000
227,61.0,2.0,2,0,215.0,299000
228,56.0,1.0,1,0,178.0,135100
222,43.0,2.0,1,0,210.0,102900
230,42.0,2.0,1,0,197.0,56000
225,60.0,2.0,1,0,220.0,156900
232,45.0,1.0,1,0,184.0,85000
229,174.0,3.0,3,0,194.0,565000
234,123.0,2.0,2,0,214.0,750000
236,57.0,1.0,1,0,194.0,165000
237,25.0,4.0,4,0,9.0,920000
238,46.0,0.0,1,0,184.0,129500
240,75.0,1.0,1,0,197.0,45000
241,58.0,2.0,1,0,190.0,63000
245,60.0,2.0,1,0,194.0,215000
243,59.0,1.0,1,0,178.0,123000
244,77.0,2.0,1,0,184.0,159000
246,52.0,2.0,1,0,185.0,80000
250,67.0,1.0,1,0,210.0,201240
247,80.0,2.0,1,0,184.0,162500
