area,bathrooms,building_type,date,deal_type,department,foreign_id,id,image_urls,images,location,price,rooms,title,url
58 Mts,1 Baños,Apartamento,2023-06-10 13:21:26.202448,Venta,Montevideo,23517928,0,https://imagenes.gallito.com/1024x768/48529909.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/48529909.jpg', 'path': 0, 'checksum': 'c6a3d108a17328fd364da27137f97b13', 'status': 'downloaded'}]",Centro, U$S 159.000,2,"Vendo apartamento 2 dormitorios, entrega 03/2023, Centro",https://www.gallito.com.uy/vendo-apartamento-2-dormitorios-entrega-032023-centro-inmuebles-23517928
70 Mts,2 Baños,Apartamento,2023-06-10 13:21:27.320996,Venta,Montevideo,23337848,4,https://imagenes.gallito.com/1024x768/230215143121320.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/230215143121320.jpg', 'path': 4, 'checksum': '92ed928f16b931cde612fb9ddda533d8', 'status': 'downloaded'}]",Pocitos, U$S 205.000,2,Muy buen Apartamento con Terraza,https://www.gallito.com.uy/muy-buen-apartamento-con-terraza-inmuebles-23337848
80 Mts,2 Baños,Apartamento,2023-06-10 13:21:27.052742,Venta,Montevideo,23752741,2,https://imagenes.gallito.com/1024x768/230514021957910.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/230514021957910.jpg', 'path': 2, 'checksum': '50d53b1f4e12d531d8c9e28cc41891e6', 'status': 'downloaded'}]",Cordon, U$S 165.000,2,"OPORTUNIDAD, PARA DISFRUTAR DE UN AMPIO APARTAMENTO",https://www.gallito.com.uy/oportunidad-para-disfrutar-de-un-ampio-apartamento-inmuebles-23752741
54 Mts,1 Baños,Apartamento,2023-06-10 13:21:27.309007,Venta,Montevideo,23493674,3,https://imagenes.gallito.com/1024x768/221201113455270.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/221201113455270.jpg', 'path': 3, 'checksum': '10d3a787edb721a95947cd5440c60006', 'status': 'downloaded'}]",Cordon, U$S 127.500,1,VENTA APARTAMENTO CORDON 1 DORMITORIO CON TERRAZA A ESTRENAR,https://www.gallito.com.uy/venta-apartamento-cordon-1-dormitorio-con-terraza-a-estrenar-inmuebles-23493674
315 Mts,Más de 3 baños,Apartamento,2023-06-10 13:21:27.545311,Venta,Maldonado,21950507,5,https://imagenes.gallito.com/1024x768/40692946.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/40692946.jpg', 'path': 5, 'checksum': '43cf43dc774637bbdcee7328d73d6ed7', 'status': 'downloaded'}]",Punta Del Este, U$S 1.675.000,2,Apartamento en la Brava para la venta.,https://www.gallito.com.uy/apartamento-en-la-brava-para-la-venta-inmuebles-21950507
45 Mts,1 Baños,Apartamento,2023-06-10 13:21:27.574283,Venta,Montevideo,23850855,7,https://imagenes.gallito.com/1024x768/230602153542600.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/230602153542600.jpg', 'path': 7, 'checksum': '5814744c9548f2245e92e9b5720daceb', 'status': 'downloaded'}]",Pocitos, U$S 123.000,1,"SP- Benito Blanco y Osorio, al frente, planta baja con patio",https://www.gallito.com.uy/sp-benito-blanco-y-osorio-al-frente-planta-baja-con-patio-inmuebles-23850855
1250 Mts,3 Baños,Casa,2023-06-10 13:21:27.559135,Venta,Canelones,23885827,6,https://imagenes.gallito.com/1024x768/49288277.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/49288277.jpg', 'path': 6, 'checksum': '8f6b2c0ad1be7ca3730d7c8d75944e10', 'status': 'downloaded'}]",Otra, U$S 450.000,3,Casa en Colinas de Carrasco ref. 5820...,https://www.gallito.com.uy/casa-en-colinas-de-carrasco-ref-5820-inmuebles-23885827
1 Mts,1 Baños,Apartamento,2023-06-10 13:21:27.661334,Venta,Canelones,23381997,8,https://imagenes.gallito.com/1024x768/47155347.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/47155347.jpg', 'path': 8, 'checksum': 'cfdd82d393e1858d3f467efd10d43544', 'status': 'downloaded'}]",Parque Miramar, U$S 210.000,4,Vendo Apartamento 2 Dormitorios en Parque Miramar,https://www.gallito.com.uy/vendo-apartamento-2-dormitorios-en-parque-miramar-inmuebles-23381997
166 Mts,1 Baños,Casa,2023-06-10 13:21:26.219622,Venta,Canelones,21294865,1,https://imagenes.gallito.com/1024x768/220211174542990.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/220211174542990.jpg', 'path': 1, 'checksum': 'e6e5c784c989c3d9fce962808a7d0855', 'status': 'downloaded'}]",Pando, U$S 107.000,3,"Linda Casa, una planta, próximo Ruta 8, complejo A 45",https://www.gallito.com.uy/linda-casa-una-planta-proximo-ruta-8-complejo-a-45-inmuebles-21294865
69 Mts,1 Baños,Apartamento,2023-06-10 13:21:27.927414,Venta,Montevideo,23748084,12,https://imagenes.gallito.com/1024x768/230203124551130.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/230203124551130.jpg', 'path': 12, 'checksum': '5b004ef6cf0d7cd429356e11f3b82230', 'status': 'downloaded'}]",La Comercial, U$S 105.000,2,SE VENDE APTO EN EXELENTE PUNTO,https://www.gallito.com.uy/se-vende-apto-en-exelente-punto-inmuebles-23748084
189 Mts,1 Baños,Casa,2023-06-10 13:21:27.914444,Venta,Montevideo,22856544,11,https://imagenes.gallito.com/1024x768/221111193421650.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/221111193421650.jpg', 'path': 11, 'checksum': 'fe6e8d6c1867667b98ef501bded6382f', 'status': 'downloaded'}]",Parque Batlle, U$S 138.000,4,Casa de altos en el corazón de Parque Batlle a reciclar.,https://www.gallito.com.uy/casa-de-altos-en-el-corazon-de-parque-batlle-a-reciclar-inmuebles-22856544
460 Mts,Más de 3 baños,Casa,2023-06-10 13:21:27.902329,Venta,Montevideo,23322163,10,https://imagenes.gallito.com/1024x768/230211121059130.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/230211121059130.jpg', 'path': 10, 'checksum': '56bc80558465e17e7f2d3351b3c6c9ef', 'status': 'downloaded'}]",Malvin, U$S 485.000,4,MALVIN SOBRE AV. RIVERA - ¡¡¡ IDEAL PARA EMPRESA Y VIVIENDA,https://www.gallito.com.uy/malvin-sobre-av-rivera-ideal-para-empresa-y-vivienda-inmuebles-23322163
360 Mts,2 Baños,Casa,2023-06-10 13:21:27.981300,Venta,Montevideo,22352718,14,https://imagenes.gallito.com/1024x768/42109981.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/42109981.jpg', 'path': 14, 'checksum': 'ccdea32df83f4c9b4b1a38ac993bc8f6', 'status': 'downloaded'}]",Punta Gorda, U$S 460.000,3,MUY CERCANA AL CENTRO COMERCIAL Y SANTA RITA,https://www.gallito.com.uy/muy-cercana-al-centro-comercial-y-santa-rita-inmuebles-22352718
284 Mts,1 Baños,Casa,2023-06-10 13:21:27.674153,Venta,Montevideo,23800545,9,https://imagenes.gallito.com/1024x768/49061333.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/49061333.jpg', 'path': 9, 'checksum': '123635b1ecfba65bd585ad0810d780ff', 'status': 'downloaded'}]",Parque Rodo, U$S 500.000,4,"Venta terreno, 15m frente, zona ANV, Parque Rodó",https://www.gallito.com.uy/venta-terreno-15m-frente-zona-anv-parque-rodo-inmuebles-23800545
70 Mts,1 Baños,Casa,2023-06-10 13:21:28.008569,Venta,Montevideo,20205646,16,https://imagenes.gallito.com/1024x768/47842650.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/47842650.jpg', 'path': 16, 'checksum': 'e3a0c92d6b5453a8aec901e9b5187c70', 'status': 'downloaded'}]",Prado, U$S 135.000,2,Excelente ubicación. Prado Sur en PA. Imperdible!,https://www.gallito.com.uy/excelente-ubicacion-prado-sur-en-pa-imperdible-inmuebles-20205646
130 Mts,2 Baños,Casa,2023-06-10 13:21:27.994467,Venta,Montevideo,23710636,15,https://imagenes.gallito.com/1024x768/48523430.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/48523430.jpg', 'path': 15, 'checksum': 'd754ba82146be02ad2450b714e0c0ceb', 'status': 'downloaded'}]",Punta Gorda, U$S 370.000,3,Casa 3 dormitorios Punta Gorda  A 2 cuadras del mar Con ren,https://www.gallito.com.uy/casa-3-dormitorios-punta-gorda-a-2-cuadras-del-mar-con-ren-inmuebles-23710636
184 Mts,2 Baños,Casa,2023-06-10 13:21:28.061370,Venta,Montevideo,20937282,17,https://imagenes.gallito.com/1024x768/220214180609110.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/220214180609110.jpg', 'path': 17, 'checksum': '9b8efdde535fefe00821d07339340255', 'status': 'downloaded'}]",Cordon, U$S 178.000,4,"SP- Guyabos y Ed Acevedo, PU, 184 m2 impecable c/renta",https://www.gallito.com.uy/sp-guyabos-y-ed-acevedo-pu-184-m2-impecable-crenta-inmuebles-20937282
511 Mts,2 Baños,Casa,2023-06-10 13:21:27.939477,Venta,Canelones,23690041,13,https://imagenes.gallito.com/1024x768/48902222.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/48902222.jpg', 'path': 13, 'checksum': '71730d94e3943abc51a9b7e38257b5c6', 'status': 'downloaded'}]",El Pinar, U$S 259.900,4,Venta de 2 casas en un mismo padrón en El Pinar,https://www.gallito.com.uy/venta-de-2-casas-en-un-mismo-padron-en-el-pinar-inmuebles-23690041
196 Mts,2 Baños,Apartamento,2023-06-10 13:21:28.213511,Venta,Montevideo,23505491,20,https://imagenes.gallito.com/1024x768/48780652.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/48780652.jpg', 'path': 20, 'checksum': '4d9cabf705ea528b3c6301ef5f9f8004', 'status': 'downloaded'}]",Pocitos, U$S 385.000,3,Oportunidad  Apartamento Con Barbacoa Sobre Avda Brasil,https://www.gallito.com.uy/oportunidad-apartamento-con-barbacoa-sobre-avda-brasil-inmuebles-23505491
47 Mts,1,Apartamento,2023-06-10 13:21:28.087454,Venta,Montevideo,23057682,19,https://imagenes.gallito.com/1024x768/48747304.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/48747304.jpg', 'path': 19, 'checksum': 'c0723b9ffe6a196262e3ac8fda720717', 'status': 'downloaded'}]",Pocitos, U$S 125.000,0,"Venta de monoambiente en Park Square Sarmiento, Pocitos",https://www.gallito.com.uy/venta-de-monoambiente-en-park-square-sarmiento-pocitos-inmuebles-23057682
63 Mts,1 Baños,Apartamento,2023-06-10 13:21:28.266804,Venta,Maldonado,21962723,22,https://imagenes.gallito.com/1024x768/47548267.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/47548267.jpg', 'path': 22, 'checksum': 'd88583ff37916e3b78d8d0ca68f39d9b', 'status': 'downloaded'}]",Punta Del Este, U$S 165.000,2,Apartamento en playa Brava - Punta del Este,https://www.gallito.com.uy/apartamento-en-playa-brava-punta-del-este-inmuebles-21962723
61 Mts,1 Baños,Apartamento,2023-06-10 13:21:28.074762,Venta,Montevideo,23695517,18,https://imagenes.gallito.com/1024x768/48888721.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/48888721.jpg', 'path': 18, 'checksum': '773b826aae94fb93c04236716c9a1748', 'status': 'downloaded'}]",Punta Carretas, U$S 160.000,2,Apartamento - Punta Carretas,https://www.gallito.com.uy/apartamento-punta-carretas-inmuebles-23695517
60 Mts,1 Baños,Apartamento,2023-06-10 13:21:28.225951,Venta,Montevideo,23221376,21,https://imagenes.gallito.com/1024x768/230122143130100.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/230122143130100.jpg', 'path': 21, 'checksum': '9d94ea3471c51576c1df1a3a739dc005', 'status': 'downloaded'}]",Malvin Norte, U$S 68.000,2,Cooperativa seguridad 24 hs cercada 1 x escalera si mascota,https://www.gallito.com.uy/cooperativa-seguridad-24-hs-cercada-1-x-escalera-si-mascota-inmuebles-23221376
251 Mts,Más de 3 baños,Casa,2023-06-10 13:21:29.071934,Venta,Montevideo,23337988,27,https://imagenes.gallito.com/1024x768/230215171848540.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/230215171848540.jpg', 'path': 27, 'checksum': '663bc242b102e2bb33d15b6b1cc29cdb', 'status': 'downloaded'}]",Parque Batlle, U$S 550.000,4,CASA DE EXCELENTE CONSTRUCCION EN EL CORAZON DE PQE BATLLE,https://www.gallito.com.uy/casa-de-excelente-construccion-en-el-corazon-de-pqe-batlle-inmuebles-23337988
326 Mts,3 Baños,Casa,2023-06-10 13:21:28.950598,Venta,Montevideo,22318794,23,https://imagenes.gallito.com/1024x768/44673525.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/44673525.jpg', 'path': 23, 'checksum': '943017d1c2380ff933c75dd37094accd', 'status': 'downloaded'}]",Punta Gorda, U$S 860.000,4,"Casa 4 dorm Venta Punta Gorda Escr,piscina,fondo",https://www.gallito.com.uy/casa-4-dorm-venta-punta-gorda-escr-piscina-fondo-inmuebles-22318794
1000 Mts,3 Baños,Casa,2023-06-10 13:21:29.046036,Venta,Maldonado,22549349,26,https://imagenes.gallito.com/1024x768/43872862.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/43872862.jpg', 'path': 26, 'checksum': '94d507691464368fbd091f726863b81b', 'status': 'downloaded'}]",Punta Del Este, U$S 360.000,4,HERMOSA CASA DE 4 DORMITORIOS A LA VENTA,https://www.gallito.com.uy/hermosa-casa-de-4-dormitorios-a-la-venta-inmuebles-22549349
265 Mts,2 Baños,Casa,2023-06-10 13:21:29.015670,Venta,Montevideo,23776882,25,https://imagenes.gallito.com/1024x768/230518114015630.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/230518114015630.jpg', 'path': 25, 'checksum': 'b03ba0e71a62eab0ab5d24d352c7ec3b', 'status': 'downloaded'}]",Punta Gorda, U$S 420.000,4,Casa P.Único Actualizada próx. Rbla. Club Náutico,https://www.gallito.com.uy/casa-punico-actualizada-prox-rbla-club-nautico-inmuebles-23776882
993 Mts,Más de 3 baños,Casa,2023-06-10 13:21:28.977612,Venta,Canelones,23721191,24,https://imagenes.gallito.com/1024x768/48622170.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/48622170.jpg', 'path': 24, 'checksum': 'b374a1a931a8ae93ebea209cd1e2e11a', 'status': 'downloaded'}]",El Pinar, U$S 890.000,4,Impecable en el Pinar,https://www.gallito.com.uy/impecable-en-el-pinar-inmuebles-23721191
2000 Mts,Más de 3 baños,Casa,2023-06-10 13:21:29.146940,Venta,Canelones,22884646,29,https://imagenes.gallito.com/1024x768/47511573.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/47511573.jpg', 'path': 29, 'checksum': '34c0d640c7be23a65e8eed9eea9071ff', 'status': 'downloaded'}]",Lagomar, U$S 590.000,4,Casa en Venta,https://www.gallito.com.uy/casa-en-venta-inmuebles-22884646
2993 Mts,2 Baños,Casa,2023-06-10 13:21:29.168983,Venta,Maldonado,22264514,30,https://imagenes.gallito.com/1024x768/48605165.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/48605165.jpg', 'path': 30, 'checksum': 'c09182bf3eda260233dbf4f1701d97be', 'status': 'downloaded'}]",Punta Del Este, U$S 550.000,3,Casa en Venta en Golf.,https://www.gallito.com.uy/casa-en-venta-en-golf-inmuebles-22264514
1 Mts,3 Baños,Casa,2023-06-10 13:21:29.184426,Venta,Montevideo,23822904,31,https://imagenes.gallito.com/1024x768/49017835.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/49017835.jpg', 'path': 31, 'checksum': 'f8d59e1326aef23d5a2977aa81e33b9b', 'status': 'downloaded'}]",Parque Batlle, U$S 193.000,2,CIUDAD DE BAHIA BLANCA Y AVELINO MIRANDA PADRON UNICO,https://www.gallito.com.uy/ciudad-de-bahia-blanca-y-avelino-miranda-padron-unico-inmuebles-23822904
111 Mts,1 Baños,Casa,2023-06-10 13:21:29.203452,Venta,Montevideo,23851485,32,https://imagenes.gallito.com/1024x768/230602183235230.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/230602183235230.jpg', 'path': 32, 'checksum': '4b239f1254084936b4ec146ae153ad87', 'status': 'downloaded'}]",Larrañaga, U$S 90.000,3,"CASA DÚPLEX, 3 DORMITORIOS, PARRILLERO, COCHERA",https://www.gallito.com.uy/casa-duplex-3-dormitorios-parrillero-cochera-inmuebles-23851485
100 Mts,2 Baños,Casa,2023-06-10 13:21:29.265898,Venta,Canelones,23292304,33,https://imagenes.gallito.com/1024x768/48724538.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/48724538.jpg', 'path': 33, 'checksum': '900c498187a06a308d01155b1452fd27', 'status': 'downloaded'}]",El Pinar, U$S 185.000,3,Casa a 2 Cuadras De Rambla Casi Costanera!!!,https://www.gallito.com.uy/casa-a-2-cuadras-de-rambla-casi-costanera-inmuebles-23292304
200 Mts,2 Baños,Casa,2023-06-10 13:21:29.123404,Venta,Canelones,23304329,28,https://imagenes.gallito.com/1024x768/230209121036430.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/230209121036430.jpg', 'path': 28, 'checksum': '3f10d31af512244007565904ed9ec97a', 'status': 'downloaded'}]",Lomas De Solymar, U$S 230.000,3,ÚLTIMA UNIDAD!! Estrene Frente al mar!! Entrega Inmediata,https://www.gallito.com.uy/ultima-unidad-estrene-frente-al-mar-entrega-inmediata-inmuebles-23304329
99500 Mts,1 Baños,Casa,2023-06-10 13:21:29.320977,Venta,Montevideo,23536262,35,https://imagenes.gallito.com/1024x768/230328162115650.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/230328162115650.jpg', 'path': 35, 'checksum': '8f7fe94edcc7b56b878c66cec59c7b45', 'status': 'downloaded'}]",Reducto, U$S 99.500,2,NUEVO LANZAMIENTO EN POZO! VILAGRANDE,https://www.gallito.com.uy/nuevo-lanzamiento-en-pozo-vilagrande-inmuebles-23536262
435 Mts,1 Baños,Casa,2023-06-10 13:21:29.292414,Venta,Montevideo,23851734,34,https://imagenes.gallito.com/1024x768/49159728.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/49159728.jpg', 'path': 34, 'checksum': '5c78ab5f3a806510402bca807dc9c1c0', 'status': 'downloaded'}]",Carrasco, U$S 599.000,4,Casa Venta Carrasco Padrón Único iMas.uy LC  ...,https://www.gallito.com.uy/casa-venta-carrasco-padron-unico-imasuy-lc-inmuebles-23851734
90 Mts,1 Baños,Casa,2023-06-10 13:21:29.368094,Venta,Canelones,23434919,36,https://imagenes.gallito.com/1024x768/49056080.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/49056080.jpg', 'path': 36, 'checksum': '42196948dbff208eee6df81c969bc398', 'status': 'downloaded'}]",Ciudad De La Costa, U$S 62.000,3,"Venta de Casa dúplex de 3 Dormitorios en Solymar, Ciudad de",https://www.gallito.com.uy/venta-de-casa-duplex-de-3-dormitorios-en-solymar-ciudad-de-inmuebles-23434919
435 Mts,1 Baños,Casa,2023-06-10 13:21:29.385791,Venta,Montevideo,23851725,37,https://imagenes.gallito.com/1024x768/49159628.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/49159628.jpg', 'path': 37, 'checksum': '0146d1995851c1b89fd3c9be56064e89', 'status': 'downloaded'}]",Punta Gorda, U$S 599.000,4,Casa Venta Punta Gorda Padrón Único iMas.uy LC * ...,https://www.gallito.com.uy/casa-venta-punta-gorda-padron-unico-imasuy-lc-inmuebles-23851725
664 Mts,3 Baños,Casa,2023-06-10 13:21:29.398563,Venta,Montevideo,23767098,38,https://imagenes.gallito.com/1024x768/230516121712200.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/230516121712200.jpg', 'path': 38, 'checksum': '54684954eb312103c1ee2d322635f985', 'status': 'downloaded'}]",Belvedere, U$S 398.000,4,Casa En Venta 4 Dormitorios 3 Baños Y Piscina,https://www.gallito.com.uy/casa-en-venta-4-dormitorios-3-ba%C3%B1os-y-piscina-inmuebles-23767098
1 Mts,3 Baños,Casa,2023-06-10 13:21:29.412417,Venta,Maldonado,23322570,39,https://imagenes.gallito.com/1024x768/47151028.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/47151028.jpg', 'path': 39, 'checksum': 'c5bd03eb32c350b9cef5fc636b62de60', 'status': 'downloaded'}]",Punta Del Este, U$S 1.300.000,3,PRECIOSA CASA EN BARRIO PRIVADO VENTA Y ALQUILER ANUAL CERC,https://www.gallito.com.uy/preciosa-casa-en-barrio-privado-venta-y-alquiler-anual-cerc-inmuebles-23322570
66 Mts,1 Baños,Casa,2023-06-10 13:21:29.500666,Venta,Montevideo,22145328,40,https://imagenes.gallito.com/1024x768/48299661.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/48299661.jpg', 'path': 40, 'checksum': '5d080d66627d7d3527e54976506a07ff', 'status': 'downloaded'}]",Peñarol, U$S 119.000,2,Casa - Peñarol Lavalleja,https://www.gallito.com.uy/casa-pe%C3%B1arol-lavalleja-inmuebles-22145328
334 Mts,Más de 3 baños,Casa,2023-06-10 13:21:29.612795,Venta,Montevideo,22989524,42,https://imagenes.gallito.com/1024x768/48362366.jpeg,"[{'url': 'https://imagenes.gallito.com/1024x768/48362366.jpeg', 'path': 42, 'checksum': '461341fac62ddd8c349dcd1b09eb5140', 'status': 'downloaded'}]",Cordon, U$S 370.000,4,Casa Venta en Cordón,https://www.gallito.com.uy/casa-venta-en-cordon-inmuebles-22989524
420 Mts,1 Baños,Casa,2023-06-10 13:21:29.554104,Venta,Montevideo,21724524,41,https://imagenes.gallito.com/1024x768/220429135039210.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/220429135039210.jpg', 'path': 41, 'checksum': '6e9193ed59f7420f1768d30f81263f1e', 'status': 'downloaded'}]",Prado, U$S 239.000,3,"Molinos de Raffo prox Castro, Moderna, gran fondo!",https://www.gallito.com.uy/molinos-de-raffo-prox-castro-moderna-gran-fondo-inmuebles-21724524
445 Mts,Más de 3 baños,Casa,2023-06-10 13:21:29.636623,Venta,Montevideo,23510210,43,https://imagenes.gallito.com/1024x768/230323203719670.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/230323203719670.jpg', 'path': 43, 'checksum': '8a608613a2dcea06515dcf8ac0975bd8', 'status': 'downloaded'}]",Pocitos, U$S 790.000,4,Excelente residencia próximo a embajada italiana gge x 4,https://www.gallito.com.uy/excelente-residencia-proximo-a-embajada-italiana-gge-x-4-inmuebles-23510210
91 Mts,2 Baños,Casa,2023-06-10 13:21:29.655298,Venta,Montevideo,22732123,44,https://imagenes.gallito.com/1024x768/44125403.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/44125403.jpg', 'path': 44, 'checksum': '521f785b835bfb2419766ba91ec7fff8', 'status': 'downloaded'}]",Golf, U$S 128.000,4,"Muy buen metraje, padrón único a mts de Gral Flores.",https://www.gallito.com.uy/muy-buen-metraje-padron-unico-a-mts-de-gral-flores-inmuebles-22732123
72 Mts,3 Baños,Casa,2023-06-10 13:21:29.674349,Venta,Montevideo,23429024,45,https://imagenes.gallito.com/1024x768/48649571.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/48649571.jpg', 'path': 45, 'checksum': 'fb94f78eda14db6fc7805284188237db', 'status': 'downloaded'}]",Pocitos Nuevo, U$S 250.000,3,VENTA CASA PH DE BAJOS  POCITOS NUEVO 3 DORMITORIOS FONDO,https://www.gallito.com.uy/venta-casa-ph-de-bajos-pocitos-nuevo-3-dormitorios-fondo-inmuebles-23429024
330 Mts,3 Baños,Casa,2023-06-10 13:21:29.715108,Venta,Montevideo,23419307,47,https://imagenes.gallito.com/1024x768/47991453.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/47991453.jpg', 'path': 47, 'checksum': '2c046567f9c9780e74cfecb8d0fa8abf', 'status': 'downloaded'}]",Prado, U$S 450.000,4,Venta de casa de 4 dormitorios en el Prado,https://www.gallito.com.uy/venta-de-casa-de-4-dormitorios-en-el-prado-inmuebles-23419307
440 Has.,Más de 3 baños,Casa,2023-06-10 13:21:29.798015,Venta,Montevideo,23839777,48,https://imagenes.gallito.com/1024x768/220707130900320.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/220707130900320.jpg', 'path': 48, 'checksum': '78053e1eefd8307c3aeb2d930f6a735b', 'status': 'downloaded'}]",Pocitos, U$S 645.000,4,Casona en 2 Plantas - Br. España y Franzini -,https://www.gallito.com.uy/casona-en-2-plantas-br-espa%C3%B1a-y-franzini-inmuebles-23839777
518 Mts,Más de 3 baños,Casa,2023-06-10 13:21:29.693872,Venta,Montevideo,23627738,46,https://imagenes.gallito.com/1024x768/230417212753060.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/230417212753060.jpg', 'path': 46, 'checksum': 'd9feab5b22a969c512d61898e5d7d46e', 'status': 'downloaded'}]",Punta Gorda, U$S 950.000,4,"EXCELENTE UBICACION, EMPRESA O FAMILIA",https://www.gallito.com.uy/excelente-ubicacion-empresa-o-familia-inmuebles-23627738
70 Mts,1 Baños,Casa,2023-06-10 13:21:29.885455,Venta,Montevideo,21569698,50,https://imagenes.gallito.com/1024x768/220401091857760.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/220401091857760.jpg', 'path': 50, 'checksum': 'fcd32a810532b0702af22a588ea3cf4f', 'status': 'downloaded'}]",Capurro, U$S 90.000,3,ZONA CAPURRO: OPORTUNIDAD CASA 2/3 DORMITORIOS,https://www.gallito.com.uy/zona-capurro-oportunidad-casa-23-dormitorios-inmuebles-21569698
931 Mts,2 Baños,Casa,2023-06-10 13:21:29.845419,Venta,Montevideo,22253632,49,https://imagenes.gallito.com/1024x768/220725133119030.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/220725133119030.jpg', 'path': 49, 'checksum': 'f6400b64e513099f468916d4c21b15eb', 'status': 'downloaded'}]",Cerrito, U$S 155.000,2,EXCELENTE PADRON UNICO 931 M2,https://www.gallito.com.uy/excelente-padron-unico-931-m2-inmuebles-22253632
38 Mts,1 Baños,Casa,2023-06-10 13:21:29.965212,Venta,Montevideo,23839790,55,https://imagenes.gallito.com/1024x768/230531061923470.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/230531061923470.jpg', 'path': 55, 'checksum': '9eb4d5e8b4ec316253d04e46c8eedbeb', 'status': 'downloaded'}]",La Comercial, U$S 85.000,1,VENTA CASA PROPIEDAD HORIZONTAL 1 DORMITORIO CON PATIO,https://www.gallito.com.uy/venta-casa-propiedad-horizontal-1-dormitorio-con-patio-inmuebles-23839790
469 Mts,2 Baños,Casa,2023-06-10 13:21:29.946880,Venta,Montevideo,23483016,54,https://imagenes.gallito.com/1024x768/230318153909420.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/230318153909420.jpg', 'path': 54, 'checksum': '1b6151fefa9b4c4ec1aed260e74aee88', 'status': 'downloaded'}]",La Blanqueada, U$S 450.000,4,OPORTUNIDAD DUEÑO VENDE JUAN ORTIZ Y LUIS A. DE HERRERA,https://www.gallito.com.uy/oportunidad-due%C3%B1o-vende-juan-ortiz-y-luis-a-de-herrera-inmuebles-23483016
220 Mts,2 Baños,Casa,2023-06-10 13:21:29.919256,Venta,Montevideo,23476480,52,https://imagenes.gallito.com/1024x768/230316175149480.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/230316175149480.jpg', 'path': 52, 'checksum': '116688e381edf469c427ea4790520fa4', 'status': 'downloaded'}]",Carrasco, U$S 335.000,3,EXCLUSIVA CHALET CARRASCO SUR PROX HARWOOD 1 PLANTA 3 DORMS,https://www.gallito.com.uy/exclusiva-chalet-carrasco-sur-prox-harwood-1-planta-3-dorms-inmuebles-23476480
