area,bathrooms,building_type,date,deal_type,id,image_urls,images,location,price,rooms,title,url
337 Mts,Más de 3 baños,Apartamento,2023-06-03 18:04:19.784474,Alquiler,,https://imagenes.gallito.com/1024x768/48845888.jpg,,Golf, U$S 5.000,3,"FRENTE AL GOLF Soñado y de categoría, vistas únicas, 3 gges",https://www.gallito.com.uy/frente-al-golf-so%C3%B1ado-y-de-categoria-vistas-unicas-3-gges-inmuebles-22185031
41 Mts,1 Baños,Apartamento,2023-06-03 18:04:20.003991,Alquiler,,https://imagenes.gallito.com/1024x768/48180790.jpg,,Malvin, $U 30.000,1,Alquiler Apartamento Malvin A Metros De Rambla,https://www.gallito.com.uy/alquiler-apartamento-malvin-a-metros-de-rambla-inmuebles-23627562
85 Mts,2 Baños,Apartamento,2023-06-03 18:04:20.016071,Venta,,https://imagenes.gallito.com/1024x768/46699883.jpg,,Punta Del Este, U$S 339.000,2,"Apartamento de dos dormitorios a pasos de Playa Mansa, Gala",https://www.gallito.com.uy/apartamento-de-dos-dormitorios-a-pasos-de-playa-mansa-gala-inmuebles-22345085
135 Mts,2 Baños,Apartamento,2023-06-03 18:04:20.028830,Venta,,https://imagenes.gallito.com/1024x768/48994181.jpg,,Otros, U$S 220.000,3,PARODI VENTA APARTAMENTO CENTRO 3 DORMITORIOS SERVICIO GARA,https://www.gallito.com.uy/parodi-venta-apartamento-centro-3-dormitorios-servicio-gara-inmuebles-23504729
110 Mts,2 Baños,Apartamento,2023-06-03 18:04:20.041179,Venta,,https://imagenes.gallito.com/1024x768/220809131132170.jpg,,Pocitos, U$S 300.000,4,AVDA BRASIL 3 DORM 2 BAÑOS GGE,https://www.gallito.com.uy/avda-brasil-3-dorm-2-ba%C3%B1os-gge-inmuebles-22346963
76 Mts,1 Baños,Apartamento,2023-06-03 18:04:20.052990,Venta,,https://imagenes.gallito.com/1024x768/48563134.jpg,,Centro, U$S 165.130,2,"Venta Apartamento 2 Dormitorios, 01 Del Centro",https://www.gallito.com.uy/venta-apartamento-2-dormitorios-01-del-centro-inmuebles-23720867
55 Mts,1 Baños,Apartamento,2023-06-03 18:04:20.065615,Alquiler,,https://imagenes.gallito.com/1024x768/48889303.jpg,,Prado, $U 22.000,1,Apartamento - Prado,https://www.gallito.com.uy/apartamento-prado-inmuebles-23695579
60 Mts,2 Baños,Apartamento,2023-06-03 18:04:20.087312,Alquiler,,https://imagenes.gallito.com/1024x768/230601215520240.jpg,,Pocitos, $U 30.000,2,Apartamento Alquiler Pocitos 2 Dormitorios Gge,https://www.gallito.com.uy/apartamento-alquiler-pocitos-2-dormitorios-gge-inmuebles-23847101
29 Mts,1,Apartamento,2023-06-03 18:04:20.102024,Alquiler,,https://imagenes.gallito.com/1024x768/230529114615400.jpg,,Pocitos, $U 18.500,0,ALQUILER MONOAMBINTE EN POCITOS,https://www.gallito.com.uy/alquiler-monoambinte-en-pocitos-inmuebles-23831915
50 Mts,1 Baños,Apartamento,2023-06-03 18:04:20.160614,Venta,,https://imagenes.gallito.com/1024x768/230516184343260.jpg,,Centro, U$S 123.500,2,Dueña vende apartamento impecable Vivienda u Oficina,https://www.gallito.com.uy/due%C3%B1a-vende-apartamento-impecable-vivienda-u-oficina-inmuebles-23767630
