area,bathrooms,building_type,date,deal_type,id,image_urls,images,location,price,rooms,title,url
120 Mts,2 Baños,Casa,2023-06-05 21:26:20.230276,Venta,31,https://imagenes.gallito.com/1024x768/230426110450880.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/230426110450880.jpg', 'path': 31, 'checksum': '3a060976f7ed832c84fd878708a74fc3', 'status': 'uptodate'}]",Balneario Buenos Aires, U$S 150.000,2,Balneario Bs As - Junto a la Rambla y Plaza - Cabaña,https://www.gallito.com.uy/balneario-bs-as-junto-a-la-rambla-y-plaza-caba%C3%B1a-inmuebles-23670173
123 Mts,1 Baños,Casa,2023-06-05 21:26:20.251484,Venta,32,https://imagenes.gallito.com/1024x768/46893571.jpeg,"[{'url': 'https://imagenes.gallito.com/1024x768/46893571.jpeg', 'path': 32, 'checksum': 'bbbbce5002f1dffe30c0626b59d6907d', 'status': 'uptodate'}]",Cerrito, U$S 60.000,2,Casa Venta en Cerrito de la Victoria,https://www.gallito.com.uy/casa-venta-en-cerrito-de-la-victoria-inmuebles-23297619
750 Mts,1 Baños,Casa,2023-06-05 21:26:20.276322,Venta,33,https://imagenes.gallito.com/1024x768/49067995.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/49067995.jpg', 'path': 33, 'checksum': 'a78241aed901926dc7040ad22be70ee5', 'status': 'uptodate'}]",Lomas De Solymar, U$S 150.000,2,Vendo casa de 2 dormitorios en Lomas de Solymar,https://www.gallito.com.uy/vendo-casa-de-2-dormitorios-en-lomas-de-solymar-inmuebles-23561017
267 Mts,2 Baños,Casa,2023-06-05 21:26:20.294867,Venta,34,https://imagenes.gallito.com/1024x768/230601180336230.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/230601180336230.jpg', 'path': 34, 'checksum': 'c0a5740f1ccc6478b1aeb7af43e55f90', 'status': 'uptodate'}]",Malvin, U$S 320.000,4,EXCELENTE UBICACIÓN!!! Próximo a centro comercial,https://www.gallito.com.uy/excelente-ubicacion-proximo-a-centro-comercial-inmuebles-23846945
200 Mts,2 Baños,Casa,2023-06-05 21:26:20.358442,Venta,35,https://imagenes.gallito.com/1024x768/230601164425450.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/230601164425450.jpg', 'path': 35, 'checksum': '50aa5109a2bab10b3e2a4f30477cec8e', 'status': 'uptodate'}]",Malvin, U$S 350.000,3,Muy linda!!! Toda una planta,https://www.gallito.com.uy/muy-linda-toda-una-planta-inmuebles-23846856
100 Mts,2 Baños,Casa,2023-06-05 21:26:20.381798,Venta,36,https://imagenes.gallito.com/1024x768/47898839.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/47898839.jpg', 'path': 36, 'checksum': 'f522c3820c9be8c2cf6caf345f1937b1', 'status': 'uptodate'}]",Pinares, U$S 185.000,3,"Casa - Parque Pinares. 3 dormitorios , 2 baños y parrillero",https://www.gallito.com.uy/casa-parque-pinares-3-dormitorios-2-ba%C3%B1os-y-parrillero-inmuebles-22017339
100 Mts,1 Baños,Casa,2023-06-05 21:26:20.406639,Venta,37,https://imagenes.gallito.com/1024x768/221128190504890.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/221128190504890.jpg', 'path': 37, 'checksum': '5e2f8f795cf11d0d7f2072f13734272b', 'status': 'uptodate'}]",Malvin, U$S 198.000,2,Viví a 200 mts. de rambla y con todos los servicios.,https://www.gallito.com.uy/vivi-a-200-mts-de-rambla-y-con-todos-los-servicios-inmuebles-22945514
302 Mts,1 Baños,Casa,2023-06-05 21:26:20.427943,Venta,38,https://imagenes.gallito.com/1024x768/48226798.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/48226798.jpg', 'path': 38, 'checksum': '60452c13098b94bf6b78e9a3b7b5fcbc', 'status': 'uptodate'}]",Pando, U$S 78.900,2,Venta de casa a refaccionar o reciclar en Pando,https://www.gallito.com.uy/venta-de-casa-a-refaccionar-o-reciclar-en-pando-inmuebles-23636702
168 Mts,3 Baños,Casa,2023-06-05 21:26:20.448909,Venta,39,https://imagenes.gallito.com/1024x768/47705436.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/47705436.jpg', 'path': 39, 'checksum': '550df0628068317cae22664df05e4a99', 'status': 'uptodate'}]",Malvin, U$S 235.000,4,Venta casa 4 dormitorios Malvin Montevideo A 1 Cuadra de Av,https://www.gallito.com.uy/venta-casa-4-dormitorios-malvin-montevideo-a-1-cuadra-de-av-inmuebles-23501545
540 Mts,1 Baños,Casa,2023-06-05 21:26:20.472063,Venta,40,https://imagenes.gallito.com/1024x768/200707004633180.jpg,"[{'url': 'https://imagenes.gallito.com/1024x768/200707004633180.jpg', 'path': 40, 'checksum': 'c5e4cb894a4e72e22859b474bdfe3c2f', 'status': 'uptodate'}]",Solymar, U$S 250.000,3,VENTA CASA SOLYMAR SUR. 3 DORMITORIOS + APTO. Con Renta,https://www.gallito.com.uy/venta-casa-solymar-sur-3-dormitorios-apto-con-renta-inmuebles-17838101
